"xaaf-be-live-test.att.com","52.27.32.185"
"dev-accwex.att.com","3.17.93.14"
"saleforceabs-sndbx.test-e.att.com","54.205.33.58"
"api-dev-directvcommercial.test.att.com","54.196.198.248"
"media-pte-aws.test.dlife.att.com","3.216.64.246"
"saleforceabs-sndbx.test-e.att.com","54.167.251.39"
"dai-prime.att.com","52.89.153.112"
"saleforceabs-sndbx.test-e.att.com","3.210.67.230"
"adip-impr-xandr.att.com","3.209.198.117"
"media-pte-aws.test.dlife.att.com","3.210.222.23"
"sms.att.com","3.212.242.56"
"amocmp.stage.att.com","3.18.103.116"
"dai-adrouter-awse.att.com","52.72.134.210"
"portal-pp-directvcommercial.att.com","54.165.136.169"
"id-pp-directvcommercial.att.com","54.164.24.123"
"securefamily.stage.att.com","52.89.159.228"
"adip-api-xandr.test.att.com","3.211.239.102"
"media-pte-aws.test.dlife.att.com","3.216.44.250"
"media-aws.dlife.att.com","3.217.157.59"
"media-aws.dlife.att.com","3.217.158.220"
"media-pte-aws.test.dlife.att.com","3.221.175.13"
"salesforceabs.att.com","3.88.246.48"
"dai-adrouter-awse.att.com","3.81.240.172"
"portal-pp-directvcommercial.att.com","3.84.171.204"
"media-pte-aws.test.dlife.att.com","3.222.211.74"
"media-pte-aws.test.dlife.att.com","3.223.33.192"
"RGDockerRegistry-dev.att.com","3.223.55.244"
"salesforceabs.att.com","184.73.61.125"
"cloudhub-east-test.att.com","3.23.53.84"
"cloudhub-east-test.att.com","3.23.13.111"
"dai-adrouter-awsw.att.com","54.186.44.90"
"agms.att.com","34.243.37.26"
"xaaf-st-stage.att.com","52.32.226.162"
"api-dev-directvcommercial.test.att.com","3.89.46.114"
"attthanks.att.com","52.40.118.96"
"securefamilymdm.wireless.att.com","52.35.183.37"
"agms.att.com","54.72.197.106"
"dai-adrouter-awsw.att.com","54.148.11.18"
"dai-adrouter-awsw.att.com","54.187.232.107"
"mpoc.att.com","52.53.50.208"
"service.eco2.lssl.labs.att.com","52.11.75.252"
"kibana-sms.test-e.att.com","100.24.166.106"
"iotconsole.att.com","100.26.117.94"
"nghslg-directvcommercial.test.att.com","52.6.147.16"
"comrest-directvcommercial.att.com","52.5.221.146"
"aegis.att.com","50.16.134.16"
"portal-dev-directvcommercial.test.att.com","52.7.68.225"
"adip-api-xandr.att.com","54.210.194.121"
"dai-adrouter-vod-awsw.att.com","52.10.65.194"
"activearc.att.com","52.4.110.164"
"adr1-test.att.com","52.5.98.219"
"adr1-test.att.com","52.5.253.252"
"portal-directvcommercial.att.com","52.6.125.113"
"media-aws.dlife.att.com","3.226.37.224"
"xaaf-metrics-test.att.com","18.235.58.229"
"aegis.att.com","54.236.114.223"
"networkplaybook.att.com","107.23.185.58"
"service.eco2.lssl.labs.att.com","18.236.39.99"
"securefamily.stage.att.com","54.200.160.241"
"securefamilyweb.wireless.att.com","54.200.51.150"
"adip-impr-xandr.att.com","18.232.42.86"
"api-asvt-directvcommercial.test.att.com","18.233.251.252"
"pa-qa-directvcommercial.test.att.com","18.235.163.144"
"media-aws.dlife.att.com","54.158.234.38"
"attthanks.att.com","18.237.37.107"
"portal-asvt-directvcommercial.test.att.com","54.145.223.118"
"salesforceabs.att.com","3.224.200.154"
"id-qa-directvcommercial.test.att.com","3.224.171.31"
"adip-api-xandr.test.att.com","3.227.64.85"
"adip-api-xandr.test.att.com","3.226.69.207"
"portal-pp-directvcommercial.att.com","3.226.32.34"
"portal-directvcommercial.att.com","3.225.17.68"
"saleforceabs-sndbx.test-e.att.com","3.227.232.70"
"media-aws.dlife.att.com","3.227.26.235"
"portal-dev-directvcommercial.test.att.com","3.228.230.240"
"id-dev-directvcommercial.test.att.com","34.197.120.88"
"salesforceabs.att.com","3.235.133.117"
"xaaf-metrics.att.com","34.197.13.237"
"aegis.stage.att.com","34.197.16.56"
"salesforceabs.att.com","3.229.68.194"
"adip-api-xandr.test.att.com","3.228.80.8"
"atlas.att.com","3.228.82.163"
"adip-api-xandr.test.att.com","3.228.179.96"
"adip-impr-xandr.att.com","3.232.169.42"
"api-qa-directvcommercial.test.att.com","3.232.103.80"
"id-dev-directvcommercial.test.att.com","3.233.205.74"
"portal-dev-directvcommercial.test.att.com","3.234.80.24"
"adip-impr-xandr.att.com","3.232.252.51"
"ed-directvcommercial.att.com","3.234.17.69"
"adip-impr-xandr.att.com","3.233.130.75"
"aegis.stage.att.com","34.193.251.131"
