                        domain                         |       ip        
-------------------------------------------------------+-----------------
 *.sonybiotechnology.com                               | 52.7.143.112
 staging.sonypicturesrunner.com                        | 52.5.219.243
 *.sonybiotechnology.com                               | 52.7.247.229
 *.sonybiotechnology.com                               | 54.158.15.245
 submit-actioncam.sony.net                             | 54.248.73.41
 *.hot.sonydna.com                                     | 54.248.120.95
 submit-actioncam.sony.net                             | 54.248.244.92
 *.acm.account.sony.com                                | 54.148.251.55
 *.biv.sony.tv                                         | 54.148.228.48
 producttestersfr.sony.eu                              | 18.200.114.164
 *.pen.stage.biv.sony.tv                               | 18.200.210.63
 *.navcloud.sonynei.net                                | 54.148.105.186
 *.sonyged.com                                         | 54.249.77.170
 *.sonyged.com                                         | 54.249.91.210
 *.dan.dev.biv.sony.tv                                 | 54.148.133.247
 *.nonprod.evedmp.sonynei.net                          | 54.149.36.208
 stage-portals.sonypictures.com                        | 54.149.156.227
 microsites.sonypictures.com                           | 54.149.38.118
 *.sony.eu                                             | 18.232.219.108
 nvx.sony.com                                          | 18.233.51.112
 dealersource.sel.sony.com                             | 54.158.111.50
 serviceqa.sony-latin.com                              | 54.236.170.159
 *.flashgordon.sonymobile.com                          | 63.34.192.104
 systemwatch.sony.com                                  | 54.236.98.216
 *.indevice.sonymobile.com                             | 54.229.18.54
 *.synchub.sonymobile.com                              | 54.229.18.127
 ddweb.sony-europe.com                                 | 54.229.128.214
 www.sonymusic.co.jp                                   | 54.250.223.19
 *.csn.sony.net                                        | 107.21.10.181
 *.ebookstore.sony.jp                                  | 54.250.150.109
 *.dev.gaus.sonymobile.com                             | 63.34.130.203
 *.swupd.sonymobile.com                                | 63.33.37.153
 *.idd-config.sonymobile.com                           | 63.33.134.169
 *.sonyliv.com                                         | 54.169.104.234
 *.swupd.sonymobile.com                                | 63.34.205.228
 *.nonprod.evedmp.sonynei.net                          | 54.200.52.70
 *.sonyliv.com                                         | 54.169.65.186
 *.sonyliv.com                                         | 54.169.102.228
 *.sonyliv.com                                         | 54.169.112.140
 *.sonyliv.com                                         | 54.169.168.219
 services.sony.ie                                      | 63.34.229.71
 *.pen.stage.biv.sony.tv                               | 63.33.29.50
 *.sony.artistconnection.net                           | 54.147.250.61
 prod.garata.services.sony.com                         | 54.147.249.41
 *.sonyliv.com                                         | 54.169.6.245
 *.sonyliv.com                                         | 54.169.7.253
 *.sonyliv.com                                         | 54.169.125.8
 *.sonyliv.com                                         | 54.169.247.37
 *.sonyliv.com                                         | 54.169.146.164
 *.sonyliv.com                                         | 54.169.188.217
 *.sonyliv.com                                         | 54.169.32.237
 *.sonyliv.com                                         | 54.169.224.127
 *.sonyliv.com                                         | 54.169.30.7
 stg.sonymusicshop.jp                                  | 54.92.44.25
 *.ebookstore.sony.jp                                  | 54.92.67.229
 *.pen.stage.biv.sony.tv                               | 52.30.65.188
 *.gaus.sonymobile.com                                 | 52.31.201.41
 www.sonymusic.co.jp                                   | 54.92.29.6
 www.sonymusic.co.jp                                   | 54.92.26.88
 *.gaus.sonymobile.com                                 | 54.154.91.190
 *.synchub-stage.sonymobile.com                        | 52.30.37.142
 www.sonymusic.co.jp                                   | 54.92.52.177
 *.ebookstore.sony.jp                                  | 54.92.50.207
 *.xd.sonymobile.com                                   | 52.30.89.94
 thehub.sie.sony.com                                   | 52.30.164.144
 developer.sony.com                                    | 52.31.17.39
 *.sonycontent.io                                      | 54.154.215.45
 *.dev.gaus.sonymobile.com                             | 54.154.110.179
 *.lifelog.sonymobile.com                              | 54.154.94.140
 *.gaus.sonymobile.com                                 | 54.154.247.107
 *.dev.sonyged.com                                     | 3.112.166.177
 *.redmine.sonymusic.co.jp                             | 3.112.76.209
 serviceqa.sony-latin.com                              | 3.232.130.138
 idd.sonymobile.com                                    | 3.114.8.69
 applicast.tv.start.sony.jp                            | 3.112.134.49
 *.prc.sonydna.com                                     | 3.113.255.58
 *.mobility-ai.sony.net                                | 3.115.107.54
 api.stg.spot.app.sony.jp                              | 3.115.148.226
 *.sonybiotechnology.com                               | 3.226.196.73
 *.sonybiotechnology.com                               | 3.224.167.224
 *.csn.sony.net                                        | 3.112.176.232
 *.ebookstore.sony.jp                                  | 3.112.179.33
 web132rva.sonylife.co.jp                              | 3.113.134.195
 stg.sonymusicshop.jp                                  | 3.112.168.243
 *.prc.sonydna.com                                     | 3.113.240.195
 *.prc.sonydna.com                                     | 3.114.122.7
 *.reach.sonymobile.biz                                | 3.115.211.1
 *.sonyliv.com                                         | 54.255.186.246
 *.sonyliv.com                                         | 54.255.217.27
 *.sonyliv.com                                         | 54.255.163.139
 *.sony.com                                            | 54.255.218.25
 *.sonyliv.com                                         | 54.255.157.104
 *.sonyliv.com                                         | 54.255.215.220
 drm-proxy-qa.sonypicturessro.com                      | 54.255.143.73
 ma.sonybank.net                                       | 54.255.145.242
 *.sonymaexpress.org                                   | 34.199.47.160
 recycling.sel.sony.com                                | 34.198.215.241
 nocinfosys.sony.com                                   | 34.192.15.40
 *.swupd.sonymobile.com                                | 34.200.93.6
 *.sony.com.cn                                         | 52.80.68.223
 nocinfosys.sony.com                                   | 34.205.215.26
 integration.sonypicturesrunner.com                    | 34.205.213.106
 vstream.sony.com                                      | 34.206.43.238
 recycling.sel.sony.com                                | 34.202.177.86
 tweets.sonypictures.com                               | 34.206.249.102
 mdmcls.sonyanz.com                                    | 3.104.150.186
 *.sony.com.cn                                         | 52.80.194.194
 *.sony.com.cn                                         | 52.80.158.73
 *.sony.com.cn                                         | 52.80.130.35
 api.erabu.sony.com.cn                                 | 52.80.91.143
 *.sony.com.cn                                         | 52.80.38.94
 api.erabu.sony.com.cn                                 | 52.80.44.2
 *.sony.com.cn                                         | 52.80.166.119
 *.sony.com.cn                                         | 52.80.74.121
 *.sony.com.cn                                         | 52.80.104.140
 *.sony.com.cn                                         | 52.80.227.152
 *.sony.com.cn                                         | 52.80.213.185
 *.sony.com.cn                                         | 52.80.40.147
 *.sony.com.cn                                         | 52.80.255.218
 *.sony.com.cn                                         | 52.80.53.106
 *.sony.com.cn                                         | 52.80.52.177
 *.sony.com.cn                                         | 52.80.116.169
 faq.sonypictures-awards.com                           | 54.219.178.109
 *.sony.com.cn                                         | 52.80.246.23
 *.sonyliv.com                                         | 13.250.250.162
 *.sonyliv.com                                         | 13.250.124.245
 *.sonyliv.com                                         | 13.250.160.176
 *.sonyliv.com                                         | 13.250.161.211
 link.sony-asia.com                                    | 13.251.119.218
 *.sonyliv.com                                         | 13.251.209.244
 *.sonybiotechnology.com                               | 23.20.158.180
 *.sonyliv.com                                         | 13.251.223.8
 *.sonyliv.com                                         | 13.250.90.170
 www.sonya.com                                         | 52.58.197.119
 www.sonya.com                                         | 52.58.52.180
 blogs-stage.sonymobile.com                            | 54.217.217.86
 *.biv.sony.tv                                         | 35.162.222.49
